numero;data_pub;descricao;area_atual;tipo_atual;concorda;area_correta;comentario
INB-91.019/2026;30/04/2026;SERVIÇOS DE ATUALIZAÇÃO E SUPORTE TÉCNICO DOS SOFTWARES DO DA LICENÇA ESPIRIT CAM (LICENÇA E228301), INCLUINDO O SERVIÇO DE SUPORTE E ATUALIZAÇÃO (SMC), TREINAMENTOS, NOVOS MÓDULOS E PÓS-PROCESSADORES, PELO PERÍODO DE 12 (DOZE) MESES, CONFORME CONDIÇÕES E CARACTERÍSTICAS ESTABELECIDAS NESTE TERMO DE;TI/Sistemas;TI/Software;Sim;;
INB-1.002/2026;28/04/2026;PRESTAÇÃO DE SERVIÇO DE RECUPERAÇÃO DE TANQUE TQ-6305 NA ÁREA AA-630 DA UNIDADE DE CONCENTRAÇÃO DE URÂNIO - URA ENVOLVENDO A REMOÇÃO E TRANSPORTE DA DUPLA CAMADA DE GEOMEMBRANA DE IMPERMEABILIZAÇÃO E DO GEOCOMPOSTO DO SISTEMA DE DETECÇÃO RÁPIDA DDR, REMOÇÃO E CARREGAMENTO DE COMPOSTO FORMADO POR RES;Nuclear;Obra Civil;Sim;;
INB-91.030/2026;22/04/2026;CONTRATAÇÃO DE EMPRESA PARA A EXECUÇÃO DOS SERVIÇOS DE MOVIMENTAÇÃO DE MATERIAL ROCHOSO DESMONTADO, INCLUINDO AS ATIVIDADES DE: A) MOVIMENTAÇÃO DE MINÉRIO DE OPORTUNIDADE DA PILHA DE ESTÉRIL PARA O PÁTIO DE ESTOCAGEM DE MINÉRIO;;;;;
INB-91.023/2026;09/04/2026;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DO(S) SERVIÇO(S) DE SUPORTE E APOIO TÉCNICO E OPERACIONAL AO HORTO FLORESTAL, COM DEDICAÇÃO DE MÃO DE OBRA EXCLUSIVA, A SEREM EXECUTADO(S) NAS INDÚSTRIAS NUCLEARES DO BRASIL S/A - INB, LOCALIZADA NO MUNICÍPIO DE RESENDE / RJ, EM CONFORMIDADE COM O ;Serviços Gerais;Servico;;;
INB-91.025/2026;09/04/2026;FORNECIMENTO DE POSTES E CRUZETAS DE CONCRETO, POSTO CIF, NAS INDÚSTRIAS NUCLEARES DO BRASIL S/A - INB, LOCALIZADA NO MUNICÍPIO DE CAETITÉ/BA, EM CONFORMIDADE COM O TERMO DE REFERÊNCIA.;Nuclear;Material/Insumo;N�o;;
INB-91.026/2026;09/04/2026;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO E INSTALAÇÃO DE EQUIPAMENTOS E MATERIAIS PARA AMPLIAÇÃO DE COBERTURA DE SINAL DIGITAL DE RÁDIOS COMUNICADORES NA FÁBRICA DE COMBUSTÍVEL NUCLEAR - FCN EM RESENDE/RJ, EM ÁREA COMPREENDIDA PELA RECONVERSÃO, PASTILHA E ENRIQUECIMENTO, CONFORME TERMO DE REFERÊNCIA;TI/Sistemas;Equipamento;Sim;;
INB-91.001/2026;02/04/2026;FORNECIMENTO PARCELADO E ESTIMADO DE 60.000 GALÕES DE ÁGUA MINERAL NATURAL EM GARRAFÕES DE 20 LITROS;;;;;
INB-91.024/2026;30/03/2026;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS RELATIVOS A ESTUDOS DE CARACTERIZAÇÃO DO PERFIL GEOLÓGICO-GEOTÉCNICO E DAS PROPRIEDADES FÍSICAS E MECÂNICAS DO TERRENO DE FUNDAÇÃO DA NOTA PILHA DE ESTÉRIL DA UNIDADE DE CONCENTRAÇÃO DE URÂNIO (URA) DAS INDÚSTRIAS NUCLEARES DO BRASIL S/;Nuclear;Servico;Sim;;
INB-91.017/2026;20/03/2026;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL DE RESÍDUOS SÓLIDOS, SEMISSÓLIDOS E LÍQUIDOS, OS QUAIS DEVERÃO SER TRATADOS POR DESTRUIÇÃO TÉRMICA DE RESÍDUOS QUÍMICOS SEM GERAÇÃO DE PASSIVO AMBIENTAL, PELA TÉCNICA DE COPROCESSAMENTO, EM CONFOR;Serviços Gerais;Servico;Sim;;
INB-91.011/2026;12/03/2026;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DO SERVIÇO DE USINAGEM EM AÇO INOXIDÁVEL AUSTENÍTICO, PARA A FABRICAÇÃO DE 1092 HASTES DE FIXAÇÃO, EM CONFORMIDADE COM O TERMO DE REFERÊNCIA.;Nuclear;Servico;N�o;;
INB-91.008/2026;24/02/2026;CONTRATAÇÃO DE SERVIÇOS CONTINUADOS DE CONSERVAÇÃO E LIMPEZA DE TODAS AS ÁREAS INTERNAS E EXTERNAS E DEMAIS PRÉDIOS E INSTALAÇÕES DA INB, EM CAETITÉ/BA, COM FORNECIMENTO DOS MATERIAIS DE LIMPEZA, PRODUTOS, FERRAMENTAS E EQUIPAMENTOS, PELO PRAZO DE 24 (VINTE E QUATRO) MESES, PRORROGÁVEL POR MAIS 3 (T;Serviços Gerais;Servico;Sim;;
INB-91.003/2026;21/01/2026;FORNECIMENTO PARCELADO E ESTIMADO DE COPO DESCARTÁVEL DE 200ML, POSTO CIF NA INDÚSTRIAS NUCLEARES DO BRASIL S.A. - INB, POR UM PERÍODO DE ATÉ 60 (SESSENTA MESES), LOTE 1 EM RESENDE/RJ, LOTE 2 EM CAETITÉ/BA, EM CONFORMIDADE COM TERMO DE REFERÊNCIA;Serviços Gerais;Material/Insumo;Sim;;
INB-91.004/2026;21/01/2026;PRESTAÇÃO DE SERVIÇO DE CONSERVAÇÃO E LIMPEZA, APOIO ÀS ATIVIDADES DE COPA E MENSAGEIRO PARA A INDÚSTRIAS NUCLEARES DO BRASIL S.A., LOCALIZADA NO MUNICÍPIO DO RIO DE JANEIRO/RJ, PELO PRAZO DE 60 (SESSENTA) MESES, CONFORME CONDIÇÕES E CARACTERÍSTICAS ESTABELECIDAS NO TERMO DE REFERÊNCIA.;Serviços Gerais;Servico;Sim;;
