numero,revisao,observacao,erro_classificacao,area_correta
CFE-0001-CAAAT-0031-2026,✘ Não seguido,Fornecedor precisa ser um distribuidor oficial da TECHNETICS que é uma empresa Americana,,
DIOXITEK-EX-2025-00035089,✘ Não seguido,Fora de Escopo,,
DIOXITEK-EX-2026-00001588,✘ Não seguido,Vencido,,
DIOXITEK-EX-2026-00012151,✘ Não seguido,Vencido,,
DIOXITEK-EX-2026-0009473,✘ Não seguido,Valor Baixo,,
ETN-90032/2026,✘ Não seguido,Fora de Escopo,,
ETN-90038/2026,✘ Não seguido,Valor Baixo de Mercado,,
INB-1.001/2026,✘ Não seguido,,,
INB-91.009/2026,⏸ Aguardando,Ivan esta avaliando junto a TVEL se iremos participar - Dificuldades relacionadas ao baixo valor de contrato e a empresa participante precisar ter um CNPJ - 15.04,,
INB-91.010/2026,✘ Não seguido,,,
INB-91.013/2026,✘ Não seguido,,,
INB-91.014/2026,✘ Não seguido,,,
INB-91.015/2026,✘ Não seguido,,,
INB-91.018/2026,👁 Em análise,,,
INB-91.028/2026,👁 Em análise,,,
NASA-0000063999,✘ Não seguido,Vencido,,
NASA-0000064641,✘ Não seguido,Fora de Escopo,,
NASA-0000065986,⏸ Aguardando,E-mail enviado para o Viktor e o Boris analisarem - 16.04,,
NASA-0000066338,✘ Não seguido,Vencido,,
NASA-0000066368,✘ Não seguido,Vencido,,
NASA-0000066371,✘ Não seguido,Vencido,,
NASA-0000066524,✘ Não seguido,Vencido,,
NASA-0000066541,✘ Não seguido,Vencido,,
NASA-0000066577,✘ Não seguido,Vencido,,
NASA-0000066735,✘ Não seguido,Vencido,,
NASA-0000066770,✘ Não seguido,Vencido,,
NASA-0000066811,✘ Não seguido,Valor baixo e materias precisam ser da marca Thermo Fisher/Dionex,,
NASA-0000066823,✘ Não seguido,Vencido,,
NASA-0000067051,✘ Não seguido,Vencido,,
NASA-0000067117,✘ Não seguido,Vencido,,
